pl_name,hostname,pl_orbsmax,pl_rade,pl_orbeccen,pl_orbincl,pl_orblper,st_rad,hb,Temp,st_mass,Count Rate
TOI-561 b,TOI-561,0.01055,1.423,0,87,90,0.85,0.06353345561,2901241.731,0.81,0.006444364251
TOI-561 e,TOI-561,0.3274,2.67,0.061,89.75,155,0.85,0.06353345561,2901241.731,0.81,0.006444364251
TOI-561 c,TOI-561,0.08809,2.878,0.06,89.53,200,0.85,0.06353345561,2901241.731,0.81,0.006444364251
TOI-561 d,TOI-561,0.1569,2.53,0.051,89.54,246,0.85,0.06353345561,2901241.731,0.81,0.006444364251
TOI-620 b,TOI-620,0.04825,3.76,0.22,87.47,-84,0.55,0.06005499362,2901241.731,0.58,2.688101975
TOI-674 b,TOI-674,0.025,5.25,0,87.21,90,0.42,0.06210998838,2901241.731,0.42,0.04257277289
TOI-700 e,TOI-700,0.134,0.953,0.059,89.6,70,0.42,0.06305177178,2901241.731,0.41,0.05627685825
TOI-700 b,TOI-700,0.0677,0.914,0.075,89.6,-150,0.42,0.06305177178,2901241.731,0.41,0.05627685825
TOI-700 c,TOI-700,0.0929,2.6,0.068,88.903,30,0.42,0.06305177178,2901241.731,0.41,0.05627685825
TOI-700 d,TOI-700,0.1633,1.073,0.042,89.8,10,0.42,0.06305177178,2901241.731,0.41,0.05627685825
TOI-712 d,TOI-712,0.3405,2.474,0.073,89.817,30,0.67,0.05880626935,2901241.731,0.73,0.229893765
TOI-712 b,TOI-712,0.07928,2.049,0.54,88.22,68,0.67,0.05880626935,2901241.731,0.73,0.229893765
TOI-712 c,TOI-712,0.2447,2.701,0.089,89.78,115,0.67,0.05880626935,2901241.731,0.73,0.229893765
TOI-763 b,TOI-763,0.06,2.28,0.04,87.96,42,0.9,0.06125602485,2901241.731,0.92,0.0139452727
TOI-763 c,TOI-763,0.1011,2.63,0.04,89.05,62,0.9,0.06125602485,2901241.731,0.92,0.0139452727
TOI-776 c,TOI-776,0.1,2.02,0.04,89.51,-11,0.54,0.06210998838,2901241.731,0.54,0.1800753518
